datetimestart,datetimestop,provider,server,distance,ping,download,upload
2017-10-16 10:00:01,2017-10-16 10:00:27,Telstra Internet,Telstra (Brisbane),5.31,14.163,34.7,1.23
2017-10-16 10:30:01,2017-10-16 10:30:28,Telstra Internet,Foxtel Broadband (Brisbane),5.31,16.831,34.31,1.08
2017-10-16 11:30:01,2017-10-16 11:30:27,Telstra Internet,Telstra (Brisbane),5.31,15.072,34.59,1.18
2017-10-16 12:00:01,2017-10-16 12:00:27,Telstra Internet,Telstra (Brisbane),5.31,13.924,34.37,1.22
2017-10-16 12:30:01,2017-10-16 12:30:38,Telstra Internet,AARNet (Brisbane),5.31,15.319,34.88,1.51
2017-10-16 13:30:01,2017-10-16 13:30:39,Telstra Internet,AARNet (Brisbane),5.31,15.798,35.46,1.48
2017-10-16 14:00:01,2017-10-16 14:00:36,Telstra Internet,Telstra (Brisbane),5.31,17.456,33.12,1.08
2017-10-16 14:30:01,2017-10-16 14:30:26,Telstra Internet,AARNet (Brisbane),5.31,15.383,34.74,2.26
2017-10-16 15:00:01,2017-10-16 15:00:31,Telstra Internet,AARNet (Brisbane),5.31,16.397,35.78,2.19
2017-10-16 15:30:01,2017-10-16 15:30:27,Telstra Internet,Foxtel Broadband (Brisbane),5.31,14.955,32.69,1.11
2017-10-16 16:00:01,2017-10-16 16:00:30,Telstra Internet,AARNet (Brisbane),5.31,15.9,35.02,1.7
2017-10-16 16:30:01,2017-10-16 16:30:37,Telstra Internet,AARNet (Brisbane),5.31,16.466,35.48,1.43
2017-10-16 17:00:01,2017-10-16 17:00:37,Telstra Internet,Internode (Brisbane),5.31,17.902,28.64,1.16
2017-10-16 17:30:01,2017-10-16 17:30:27,Telstra Internet,Telstra (Brisbane),5.31,13.798,34.26,1.13
2017-10-16 18:30:01,2017-10-16 18:30:33,Telstra Internet,AARNet (Brisbane),5.31,18.438,34.17,1.6
2017-10-16 19:30:01,2017-10-16 19:30:26,Telstra Internet,'Yes' Optus (Brisbane),5.31,17.118,34.25,1.19
2017-10-16 20:30:01,2017-10-16 20:30:28,Telstra Internet,Telstra (Brisbane),5.31,16.57,31.79,1.09
2017-10-16 21:30:01,2017-10-16 21:30:28,Telstra Internet,Foxtel Broadband (Brisbane),5.31,20.328,30.34,1
2017-10-16 22:30:01,2017-10-16 22:30:36,Telstra Internet,Telstra (Brisbane),5.31,17.008,31.84,0.9
2017-10-16 23:00:01,2017-10-16 23:00:36,Telstra Internet,Telstra (Brisbane),5.31,15.912,32.4,1.01
2017-10-16 23:30:01,2017-10-16 23:30:26,Telstra Internet,Telstra (Brisbane),5.31,15.276,33.1,1.19
2017-10-17 00:30:01,2017-10-17 00:30:33,Telstra Internet,AARNet (Brisbane),5.31,17.917,33.19,1.41
2017-10-17 01:30:01,2017-10-17 01:30:31,Telstra Internet,Telstra (Brisbane),5.31,17.118,34.49,1.2
2017-10-17 02:00:01,2017-10-17 02:00:35,Telstra Internet,Telstra (Brisbane),5.31,16.528,34.45,1.16
2017-10-17 02:30:01,2017-10-17 02:30:26,Telstra Internet,Telstra (Brisbane),5.31,12.928,34.98,1.2
2017-10-17 03:00:01,2017-10-17 03:00:37,Telstra Internet,Telstra (Brisbane),5.31,14.383,34.82,1.07
2017-10-17 03:30:01,2017-10-17 03:30:28,Telstra Internet,AARNet (Brisbane),5.31,15.181,28.23,1.78
2017-10-17 05:00:01,2017-10-17 05:00:25,Telstra Internet,Telstra (Brisbane),5.31,14.896,35.31,1.25
2017-10-17 05:30:01,2017-10-17 05:30:26,Telstra Internet,Telstra (Brisbane),5.31,13.733,34.79,1.21
2017-10-17 06:00:01,2017-10-17 06:00:28,Telstra Internet,AARNet (Brisbane),5.31,16.81,35.73,1.78
2017-10-17 06:30:01,2017-10-17 06:30:27,Telstra Internet,Telstra (Brisbane),5.31,14.152,35.33,1.1
2017-10-17 07:30:01,2017-10-17 07:30:28,Telstra Internet,AARNet (Brisbane),5.31,16.342,35.63,1.88
2017-10-17 08:00:01,2017-10-17 08:00:27,Telstra Internet,AARNet (Brisbane),5.31,14.703,34.95,1.77
2017-10-17 08:30:01,2017-10-17 08:30:34,Telstra Internet,Telstra (Brisbane),5.31,16.346,34.4,1.01
2017-10-17 09:00:01,2017-10-17 09:00:36,Telstra Internet,Telstra (Brisbane),5.31,16.203,34.42,1.16
2017-10-17 09:30:01,2017-10-17 09:30:29,Telstra Internet,Foxtel Broadband (Brisbane),5.31,18.216,33.98,1.04
2017-10-17 10:00:01,2017-10-17 10:00:29,Telstra Internet,Telstra (Brisbane),5.31,14.849,34.55,1.05
2017-10-17 10:30:01,2017-10-17 10:30:26,Telstra Internet,Telstra (Brisbane),5.31,16.222,35.5,1.19
2017-10-17 11:30:01,2017-10-17 11:30:28,Telstra Internet,Telstra (Brisbane),5.31,15.618,34.62,1.13
2017-10-17 12:30:01,2017-10-17 12:30:31,Telstra Internet,AARNet (Brisbane),5.31,15.261,23.03,1.58
2017-10-17 13:30:01,2017-10-17 13:30:25,Telstra Internet,Telstra (Brisbane),5.31,14.351,34.36,1.36
2017-10-17 14:00:01,2017-10-17 14:00:30,Telstra Internet,AARNet (Brisbane),5.31,15.186,35.13,1.66
2017-10-17 14:30:01,2017-10-17 14:30:33,Telstra Internet,Telstra (Brisbane),5.31,15.366,33.39,0.84
2017-10-17 15:00:01,2017-10-17 15:00:30,Telstra Internet,AARNet (Brisbane),5.31,15.274,35.36,1.64
2017-10-17 15:30:01,2017-10-17 15:30:28,Telstra Internet,Telstra (Brisbane),5.31,14.912,34.03,1.16
2017-10-17 17:30:01,2017-10-17 17:30:25,Telstra Internet,Foxtel Broadband (Brisbane),5.31,20.836,30.26,1.48
2017-10-17 18:00:01,2017-10-17 18:00:30,Telstra Internet,Foxtel Broadband (Brisbane),5.31,16.171,32.14,1.08
2017-10-17 18:30:01,2017-10-17 18:30:36,Telstra Internet,Telstra (Brisbane),5.31,19.842,33.99,1.13
2017-10-17 19:00:01,2017-10-17 19:00:31,Telstra Internet,AARNet (Brisbane),5.31,14.668,35.2,1.59
2017-10-17 19:30:01,2017-10-17 19:30:26,Telstra Internet,Telstra (Brisbane),5.31,17.036,34.56,1.24
2017-10-17 20:30:01,2017-10-17 20:30:26,Telstra Internet,Telstra (Brisbane),5.31,16.064,34.01,1.31
2017-10-17 21:00:01,2017-10-17 21:00:38,Telstra Internet,Telstra (Brisbane),5.31,17.554,34.12,1.03
2017-10-17 21:30:01,2017-10-17 21:30:31,Telstra Internet,Internode (Brisbane),5.31,18.071,28.32,1.01
2017-10-17 22:00:01,2017-10-17 22:00:28,Telstra Internet,Telstra (Brisbane),5.31,16.209,33.41,1.26
2017-10-17 22:30:01,2017-10-17 22:30:27,Telstra Internet,Telstra (Brisbane),5.31,18.16,33.54,1.21
2017-10-17 23:00:01,2017-10-17 23:00:28,Telstra Internet,AARNet (Brisbane),5.31,18.491,32.1,1.92
2017-10-17 23:30:01,2017-10-17 23:30:28,Telstra Internet,Telstra (Brisbane),5.31,15.392,34.81,1.1
2017-10-18 00:00:01,2017-10-18 00:00:30,Telstra Internet,Telstra (Brisbane),5.31,13.531,34.7,0.99
2017-10-18 00:30:01,2017-10-18 00:30:35,Telstra Internet,Foxtel Broadband (Brisbane),5.31,16.108,33.05,1.17
2017-10-18 01:30:01,2017-10-18 01:30:28,Telstra Internet,Telstra (Brisbane),5.31,15.567,33.99,1.09
2017-10-18 02:30:01,2017-10-18 02:30:27,Telstra Internet,Telstra (Brisbane),5.31,14.159,34.18,1.21
2017-10-18 03:00:01,2017-10-18 03:00:25,Telstra Internet,Telstra (Brisbane),5.31,13.931,34.72,1.38
2017-10-18 03:30:01,2017-10-18 03:30:28,Telstra Internet,Telstra (Brisbane),5.31,16.135,34.71,1.1
2017-10-18 04:00:01,2017-10-18 04:00:31,Telstra Internet,Foxtel Broadband (Brisbane),5.31,15.03,29.53,1.01
2017-10-18 04:30:01,2017-10-18 04:30:28,Telstra Internet,Telstra (Brisbane),5.31,13.876,34.72,1.17
2017-10-18 05:30:01,2017-10-18 05:30:28,Telstra Internet,Telstra (Brisbane),5.31,16.041,34.31,1.08
2017-10-18 06:00:01,2017-10-18 06:00:26,Telstra Internet,Telstra (Brisbane),5.31,13.37,35.35,1.25
2017-10-18 06:30:02,2017-10-18 06:30:31,Telstra Internet,Telstra (Brisbane),5.31,15.969,34.58,1.14
2017-10-18 07:00:01,2017-10-18 07:00:35,Telstra Internet,Telstra (Brisbane),5.31,13.523,34.45,1.26
2017-10-18 07:30:01,2017-10-18 07:30:30,Telstra Internet,AARNet (Brisbane),5.31,15.674,35.22,1.59
2017-10-18 08:00:01,2017-10-18 08:00:30,Telstra Internet,AARNet (Brisbane),5.31,15.651,35.04,1.66
2017-10-18 09:00:01,2017-10-18 09:00:27,Telstra Internet,Telstra (Brisbane),5.31,16.084,34.62,1.2
2017-10-18 09:30:01,2017-10-18 09:30:33,Telstra Internet,Telstra (Brisbane),5.31,15.284,34.22,0.98
2017-10-18 10:30:01,2017-10-18 10:30:30,Telstra Internet,AARNet (Brisbane),5.31,14.443,34.85,1.69
2017-10-18 11:00:01,2017-10-18 11:00:36,Telstra Internet,Telstra (Brisbane),5.31,14.294,33.98,1.16
2017-10-18 11:30:01,2017-10-18 11:30:30,Telstra Internet,'Yes' Optus (Brisbane),5.31,15.46,35.65,0.92
2017-10-18 12:00:02,2017-10-18 12:00:29,Telstra Internet,AARNet (Brisbane),5.31,14.503,34.88,1.88
2017-10-18 12:30:01,2017-10-18 12:30:34,Telstra Internet,Telstra (Brisbane),5.31,13.857,34.01,1.11
2017-10-18 13:30:01,2017-10-18 13:30:31,Telstra Internet,Foxtel Broadband (Brisbane),5.31,17.163,29.36,1.04
2017-10-18 14:00:01,2017-10-18 14:00:26,Telstra Internet,Telstra (Brisbane),5.31,15.871,33.66,1.41
2017-10-18 14:30:01,2017-10-18 14:30:32,Telstra Internet,AARNet (Brisbane),5.31,14.267,34.94,1.43
2017-10-18 15:30:01,2017-10-18 15:30:28,Telstra Internet,Internode (Brisbane),5.31,15.939,30.66,1.15
2017-10-18 16:00:01,2017-10-18 16:00:27,Telstra Internet,Telstra (Brisbane),5.31,13.502,34.42,1.28
2017-10-18 16:30:01,2017-10-18 16:30:26,Telstra Internet,Telstra (Brisbane),5.31,13.754,34.44,1.19
2017-10-18 17:30:01,2017-10-18 17:30:31,Telstra Internet,AARNet (Brisbane),5.31,15.623,34.9,1.65
2017-10-18 18:00:01,2017-10-18 18:00:30,Telstra Internet,Internode (Brisbane),5.31,16.961,27.16,1.02
2017-10-18 18:30:01,2017-10-18 18:30:28,Telstra Internet,Telstra (Brisbane),5.31,16.578,33.31,1.02
2017-10-18 19:30:02,2017-10-18 19:30:29,Telstra Internet,'Yes' Optus (Brisbane),5.31,18.052,33.83,1.01
